Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
45,0,331.0071948,120.6058633,100.3225662,3.557897924,2727.741368,48.21568967,21.61207579,43.7516712,136.3072434,80.48368061,23.97809394,164.9248323,259.0322176,50.07505478,88.49950391,32.03110735,1146.232174,15.00416714,92.70767081,1.554671466,11.75713452,30.22047,175.6115306,86.87008388,1.728020491,1749.004204,3022.315104,1.107991813,767.8057095
46,0,330.2034454,120.3966782,100.1486216,3.551888214,2743.685012,48.07393284,21.52403735,43.74890266,136.3164758,80.17145835,23.95636002,165.7564853,260.7217253,50.29625749,88.90058638,32.15872927,1146.475483,14.97795731,92.48177625,1.555745375,11.73515411,29.89624932,175.521108,86.987954,1.72766551,1744.696585,3014.252117,1.098614492,768.7981166
47,0,329.3797968,120.1663358,99.95972517,3.54478525,2759.186515,47.92026411,21.42963585,43.7424074,136.3539671,79.88023668,23.93170887,166.6385267,262.4656734,50.5342049,89.28928479,32.32793228,1146.876055,14.94884257,92.26065222,1.556464718,11.71128352,29.55959093,175.4277558,87.09009445,1.727243362,1740.213517,3005.772247,1.089368997,769.0918362
48,0,328.5203848,119.9107212,99.7501243,3.53641287,2774.202019,47.75311035,21.3286415,43.73055209,136.4100123,79.60626573,23.90284217,167.5678122,264.2446806,50.78733053,89.65393211,32.53500823,1147.338147,14.91618611,92.04203349,1.55673605,11.68503084,29.21541717,175.3297121,87.17256314,1.726752229,1735.504606,2996.786447,1.080233677,768.6747111
49,0,327.6116546,119.6268284,99.51469343,3.526627499,2788.688871,47.57140164,21.22105612,43.71202196,136.4755713,79.34652019,23.86860214,168.5408382,266.03853,51.05405489,89.98348054,32.77530931,1147.770964,14.87943862,91.82417614,1.556477032,11.6559657,28.86856467,175.2253821,87.23246405,1.726190909,1730.530954,2987.226801,1.071194005,767.5468092
50,0,326.643288,119.3130004,99.24923899,3.515327457,2802.604766,47.37467051,21.10714553,43.68590686,136.5427359,79.09893489,23.82804063,169.5540496,267.8271069,51.33288641,90.26784493,33.04351767,1148.092637,14.83817463,91.60596017,1.555621204,11.62374994,28.52366513,175.1134676,87.26822823,1.725558831,1725.268773,2977.052767,1.062244953,765.7208476
51,0,325.6086761,118.968991,98.95067045,3.502457254,2815.906773,47.16307739,20.9874386,43.65172775,136.6050167,78.86251467,23.78045766,170.6039714,269.5910817,51.62246473,90.49813677,33.33390287,1148.232779,14.79211069,91.38687947,1.554120696,11.58815329,28.18500935,174.9930725,87.27967758,1.724856048,1719.710682,2966.253371,1.053391895,763.2221087
52,0,324.5049698,118.5958709,98.61704561,3.488007283,2828.550308,46.93736997,20.86269708,43.60940988,136.6574585,78.63732656,23.72541095,171.6871752,271.3123336,51.92155106,90.6667942,33.64055687,1148.133654,14.74110672,91.16693637,1.551946968,11.54905532,27.85640405,174.8637734,87.26790029,1.72408322,1713.864908,2954.845729,1.04465023,760.0878226
53,0,323.3328014,118.1958173,98.24751791,3.472010009,2840.488165,46.69879372,20.73386474,43.55921716,136.6966135,78.42439782,23.66270302,172.800131,272.9741588,52.22898064,90.76763079,33.95760184,1147.750242,14.68515485,90.94647452,1.549089968,11.50643704,27.54103431,174.72565,87.2349963,1.723241594,1707.752926,2942.870873,1.036044054,756.3660232
54,0,322.0957954,117.7718378,97.84222023,3.454533999,2851.669691,46.44897398,20.60200532,43.50166499,136.7204165,78.22554865,23.59235365,173.9389993,274.5613325,52.54359533,90.79583169,34.27936917,1147.049555,14.62436086,90.72598797,1.545556214,11.46036624,27.24134325,174.5792694,87.18376141,1.722332967,1701.40621,2930.388005,1.027604289,752.1139204
55,0,320.7999785,117.327476,97.40211837,3.435677051,2862.040222,46.18978894,20.46823829,43.43742795,136.7280029,78.04318793,23.51456553,175.0994215,276.0600945,52.86417388,90.74792441,34.60054974,1146.009551,14.55892285,90.50594063,1.541366322,11.4109804,26.95893729,174.4256255,87.11736983,1.721359647,1694.862684,2917.468232,1.019366608,747.3958634
