Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
49,1,254.8127526,94.64043636,77.48332886,2.755169659,2220.294625,37.61397193,16.57509789,34.75367757,111.2009448,77.63987069,19.84489506,133.8164743,220.1672197,40.86123176,69.09472337,26.77028318,923.5032611,11.64683351,87.12738516,1.250861286,9.085112273,13.86571946,161.8351601,74.39512353,1.684173653,1352.597035,2278.008289,1.025993696,767.5468092
50,1,253.8028868,94.25334592,77.20352259,2.749638671,2234.620479,37.40085538,16.47475727,34.68975631,111.0561287,77.51633849,19.76773014,134.5663558,221.3886942,40.99477177,69.23024605,26.8755063,922.8151636,11.60352296,86.9360454,1.247639694,9.053399278,13.79241752,161.7437602,74.39081828,1.684296169,1347.062776,2268.852673,1.015319019,765.7208476
51,1,252.7394574,93.83645529,76.89428425,2.742860953,2248.621995,37.17613658,16.36842767,34.61311222,110.8994319,77.36842983,19.68825632,135.3369847,222.5632429,41.12214687,69.29976465,26.97831261,922.004987,11.55727189,86.73339466,1.244094391,9.018523079,13.73054445,161.649539,74.36046591,1.684380795,1341.250673,2259.176876,1.004693933,763.2221087
52,1,251.6260264,93.39146288,76.55608219,2.734765955,2262.237857,36.94089086,16.25676128,34.52372463,110.7322334,77.19650978,19.6069196,136.128333,223.6782504,41.24180811,69.29926418,27.0757888,921.0547549,11.50824131,86.51902251,1.24024332,8.980574741,13.6789231,161.5524409,74.30556449,1.684425998,1335.175345,2249.004062,0.994150131,760.0878226
53,1,250.4667834,92.92024537,76.18959493,2.725302878,2275.413449,36.69623909,16.14042939,34.4217093,110.5562616,77.00152924,19.52408141,136.9393417,224.7209834,41.35221378,69.22622961,27.16528419,919.9463695,11.45659272,86.29231138,1.236107869,8.939661134,13.63622544,161.4522063,74.22793867,1.684430581,1328.853397,2238.3613,0.9837163,756.3660232
54,1,249.2660651,92.42467071,75.79560671,2.714437319,2288.100713,36.44326519,16.02008139,34.30726637,110.3733643,76.7848081,19.43998519,137.7676732,225.6783685,41.45179414,69.07960477,27.24442791,918.6608004,11.40246962,86.0523283,1.231710727,8.895893247,13.60098794,161.3483694,74.12950555,1.684393737,1322.301069,2227.275639,0.973416785,752.1139204
55,1,248.0279315,91.90643957,75.37491848,2.702148271,2300.257832,36.18294652,15.89630989,34.18063497,110.1852911,76.54782893,19.35473107,138.6095298,226.5368443,41.5389232,68.85971636,27.31113398,917.1775428,11.34598217,85.79775489,1.227073816,8.849376322,13.571622,161.2402729,74.01206092,1.684315078,1315.532194,2215.77071,0.963270586,747.3958634
56,1,246.7558485,91.36697489,74.92828954,2.68842605,2311.848819,35.91610529,15.76962561,34.04206122,109.9935119,76.29206275,19.26826305,139.4595669,227.2823437,41.61190745,68.56817813,27.36360193,915.4744983,11.28719752,85.52687043,1.22221658,8.800203537,13.54642236,161.1271014,73.87711221,1.684194674,1308.556735,2203.864283,0.953290831,742.2809979
57,1,245.4525065,90.80737015,74.45641836,2.673271504,2322.843045,35.64338518,15.64044401,33.89178325,109.7990856,76.01884077,19.18037044,140.3109161,227.900441,41.66899749,68.2077858,27.40031891,913.5283509,11.22613699,85.23759409,1.217154812,8.748454147,13.52357636,161.0079303,73.7257756,1.684033072,1301.380063,2191.567065,0.943484782,736.8407436
58,1,244.1197815,90.22839932,73.95996439,2.656696589,2333.214778,35.36525432,15.50908413,33.73003392,109.6025845,75.72927898,19.09070449,141.1553238,228.3766792,41.70842504,67.78240888,27.42006667,911.3154376,11.16278049,84.92758561,1.211900126,8.694196333,13.50117645,160.881787,73.55874443,1.683831312,1294.003026,2178.882813,0.933854368,731.1462283
59,1,242.7588282,89.63058191,73.43960604,2.63872611,2342.942756,35.08203213,15.37577864,33.55705909,109.4040722,75.42425433,18.99880857,141.9833948,228.6970638,41.72846329,67.29688007,27.42193378,908.8130275,11.09707761,84.59439521,1.206460045,8.637494127,13.4772372,160.7477186,73.3763253,1.683590924,1286.422731,2165.809634,0.924397162,725.2658177
60,1,241.3702696,89.0142899,72.8961238,2.619400239,2352.009849,34.7939345,15.24069291,33.3731466,109.2031244,75.10442423,18.90415882,142.7849192,228.848686,41.72750477,66.75687842,27.40533093,906.0008526,11.02896361,84.23564697,1.200838627,8.578417189,13.44971762,160.6048596,73.17852888,1.683313923,1278.633876,2152.342206,0.91510765,719.2628743
61,1,239.9544433,88.37987788,72.33049374,2.598777222,2360.402803,34.50112988,15.10394975,33.17865955,108.9988774,74.77027628,18.80621114,143.5492505,228.8204179,41.70414759,66.16880039,27.37000485,902.8626881,10.95837817,83.84923514,1.195037433,8.517051715,13.41654787,160.4524924,72.96519603,1.68300279,1270.630386,2138.474484,0.905978624,713.1938582
62,1,238.5116572,87.72781776,71.74397666,2.576935737,2368.112083,34.20379881,14.96565667,32.97406766,108.7900871,74.42219399,18.70444982,144.2657003,228.6036151,41.65728052,65.53961368,27.31604619,899.3877811,10.88528454,83.43351272,1.189056666,8.453510813,13.37565954,160.2900981,72.73613638,1.68266044,1262.407116,2124.202512,0.897002523,707.1068616
63,1,237.0424109,87.05881832,71.13818745,2.553976317,2375.131812,33.90218871,14.82593212,32.75997017,108.5751839,74.0605225,18.5984328,144.923912,228.1927527,41.58615606,64.87668982,27.24388593,895.5719257,10.80968648,82.98745119,1.182896258,8.387942577,13.32501768,160.117392,72.49125696,1.682290184,1253.961357,2109.526882,0.888172552,701.0406353
64,1,235.5475475,86.37391451,70.51513376,2.530021465,2381.459768,33.59665763,14.68492782,32.53710597,108.3523096,73.68562179,18.48782958,145.5141787,227.5859326,41.49044298,64.18761567,27.15427674,891.4180368,10.73164126,82.51075478,1.17655675,8.32053465,13.26265276,159.9343435,72.23066158,1.68189568,1245.293956,2094.454525,0.87948348,695.0241314
65,1,234.028318,85.67451724,69.87721783,2.505214247,2387.097422,33.28770311,14.54284542,32.3063487,108.119331,73.29789891,18.37244868,146.0276847,226.7852114,41.37025245,63.47998915,27.04825775,886.9361524,10.65126727,82.00391948,1.170039849,8.251514604,13.18669145,159.741182,71.95470845,1.681480872,1236.409925,2078.999639,0.870932045,689.0765569
66,1,232.4863517,84.96241922,69.22719995,2.479715367,2392.04999,32.97597344,14.39994593,32.06868661,107.8738295,72.89781488,18.25225272,146.456654,225.7967177,41.22613496,62.76120756,26.927103,882.142851,10.56874562,81.46823214,1.163348604,8.181145988,13.09538512,159.5383893,71.66402064,1.681049928,1227.318499,2063.183675,0.862516956,683.2078948
67,1,230.9235434,84.23975968,68.56812807,2.453698939,2396.32645,32.66226238,14.25655221,31.82518973,107.6130734,72.48586754,18.12736109,146.7944069,224.6305505,41.05904899,62.0382612,26.79225696,877.0601641,10.48431613,80.90571343,1.156487238,8.109720621,12.98713619,159.3266814,71.35945309,1.680607166,1218.032695,2047.034476,0.854238568,677.4198284
68,1,229.3418879,83.5089569,67.90324293,2.427347375,2399.939519,32.34748983,14.11304517,31.57696877,107.3339852,72.06255715,17.99804146,147.0353362,223.3004742,40.87030643,61.31754705,26.6452624,871.7141314,10.39826861,80.31901511,1.149460721,8.037548256,12.86052307,159.1069843,71.04202668,1.680156979,1208.568498,2030.584797,0.846098321,671.7069802
69,1,227.7432916,82.77262004,67.23587043,2.400845868,2402.905553,32.03267266,13.96985506,31.32513127,107.0331195,71.62834358,17.86469232,147.1748271,221.8234388,40.6615016,60.60471654,26.48768711,866.1331781,10.310931,79.71128547,1.142274216,7.964944972,12.71432499,158.8804046,70.71284607,1.679703753,1198.943861,2013.870503,0.838098069,666.058366
70,1,226.1294028,82.03345409,66.56931407,2.374377005,2405.244365,31.71889067,13.82744987,31.07074079,106.7066684,71.18360649,17.72781976,147.2091456,220.2189726,40.43443217,59.90456975,26.3210564,860.3465181,10.22265611,79.0860197,1.134932552,7.892221847,12.54754808,158.6481973,70.37301997,1.679251794,1189.177703,1996.928791,0.830239464,660.4589605
71,1,224.5014954,81.29417173,65.90676003,2.348115993,2406.978963,31.40725268,13.68632244,30.81478455,106.350509,70.72861919,17.58801152,147.1353289,218.5084926,40.19102086,59.22100482,26.14679772,854.3827754,10.13380867,78.44691198,1.127439885,7.819675309,12.359454,158.411733,70.02360157,1.678805245,1179.289111,1979.796745,0.822523493,654.8912714
72,1,222.8604277,80.55742077,65.25120274,2.322226829,2408.135208,31.09886611,13.54697787,30.55815289,105.9603015,70.26354345,17.4459111,146.9510984,216.7145791,39.93324436,58.55702499,25.96620183,848.2689509,10.04475402,77.7977213,1.119799612,7.747580119,12.14959139,158.1724625,69.66556245,1.678368015,1169.29686,1962.510449,0.814950274,649.336833
73,1,221.2066905,79.82573361,64.60539614,2.296859606,2408.741403,30.79481276,13.40992204,30.30163212,105.53164,69.78844946,17.30219383,146.6548134,214.8602506,39.66307417,57.91480092,25.78040273,842.0298203,9.955849342,77.14216022,1.112014631,7.676185516,11.91782933,157.931881,69.29980565,1.677943707,1159.219315,1945.104754,0.807519127,643.7775402
