,quantile
735,0.967299337
736,0.682988426
737,0.93860484
738,1.145353357
739,1.206456951
740,1.122621328
741,0.748773856
742,1.01305899
743,0.661102162
744,1.157711175
745,0.839738983
746,1.006333176
747,1.025994106
748,1.268974578
749,0.75546903
750,0.862858778
751,0.669470187
752,0.832452988
753,0.832020465
754,0.7821707
755,0.829667476
756,0.915222732
757,0.665436685
758,0.676073528
759,0.903631797
760,1.06251639
761,0.739947794
762,0.978859624
763,1.179720613
764,0.968325153
765,0.647576874
766,1.463021429
767,1.177870325
768,1.126021443
769,1.011310636
770,0.878792605
771,1.069874879
772,1.158503864
773,1.359170453
774,0.707243732
775,0.585887849
776,1.235519967
777,1.069968217
778,0.860021602
779,0.580913539
780,1.115427705
781,1.053926763
782,0.779595099
783,0.741748806
784,0.647305375
785,1.236784183
786,1.382695782
787,0.585516151
788,1.080551129
789,0.665205507
790,0.850099268
791,1.078909364
792,0.707750711
793,0.904132085
794,0.874841999
795,0.827564104
796,1.319166917
797,0.998649353
798,0.984591117
799,0.923539785
800,0.82634923
801,0.876597727
802,1.171667912
803,1.195000829
804,0.666712849
805,1.730024424
806,0.965511255
807,0.966630332
808,0.753546678
809,0.599236188
810,0.973020188
811,1.154763886
812,0.891763217
813,1.191981866
814,1.163016558
815,0.786845609
816,1.24532855
817,0.951893061
818,0.579727949
819,0.847006011
820,0.951851395
821,0.854573598
822,0.778881775
823,1.341083859
824,1.062518567
825,0.901142382
826,1.790000166
827,0.704277431
828,0.912082961
829,0.676079737
830,0.55323742
831,1.71489938
832,1.408610709
833,1.139598101
834,1.420903176
835,1.200340619
836,1.055549784
837,1.641575433
838,0.642354936
839,1.112137779
840,1.13131664
841,0.734413328
842,0.80155637
843,0.902383223
844,0.536384649
845,0.90093941
846,0.919703148
847,1.137645073
848,1.170679461
849,0.730036171
850,0.854232953
851,0.711510443
852,0.734469705
853,0.565814333
854,1.006657369
855,0.871554222
856,1.022444562
857,1.424497048
858,1.094960866
859,0.839349194
860,1.368676971
861,0.754285672
862,0.724546811
863,1.640178635
864,0.868284762
865,0.914976908
866,0.9794363
867,1.069599394
868,1.083860303
869,1.469800316
870,0.746736754
871,0.875425234
872,0.88740636
873,0.562603705
874,0.937534436
875,0.839172046
876,0.879844203
877,0.949081356
878,1.038892558
879,1.508525121
880,0.822947565
881,0.916227975
882,1.135931592
883,0.656386303
884,1.4859695
885,1.06235321
886,0.956122167
887,0.990548824
888,0.780249875
889,0.983109366
890,0.806707403
891,0.890708334
892,0.886378292
893,0.748768421
894,0.950261439
895,0.894095868
896,0.986778122
897,1.067617334
898,1.037280251
899,1.179276551
900,0.730475391
901,1.458372515
902,0.859137756
903,0.974706363
904,0.959718613
905,0.754968092
906,1.195407423
907,0.923585306
908,0.989941307
909,1.561252387
910,0.769877744
911,0.90733281
912,1.186864518
913,0.578775238
914,1.346430763
915,0.96893306
916,0.846684292
917,1.031974867
918,0.891399128
919,1.020219585
920,0.71713362
921,1.111306193
922,1.014118083
923,0.988492123
924,1.016363891
925,0.887965039
926,1.13959852
927,0.774082244
928,1.112660085
929,0.832060419
930,0.770725377
931,0.683097371
932,1.205708062
933,0.828843584
934,0.992817824
935,1.569179387
936,1.042177298
937,0.648751352
938,1.050952332
939,1.02740927
940,0.710176696
941,1.304804629
942,0.74964821
943,0.929036895
944,0.807298955
945,0.671691153
946,1.146697644
947,1.133169791
948,1.041476068
949,0.958117829
950,1.162031226
951,1.073569145
952,0.94181291
953,1.170537778
954,1.198522492
955,1.140816439
956,0.851773879
957,0.977495287
958,1.047746967
959,0.930337181
960,1.09119613
961,1.045355964
962,0.850042935
963,0.809562912
964,0.900225184
965,1.137694465
966,1.344497436
967,1.607947336
968,1.628078878
969,1.003897646
970,0.899756009
971,1.068317508
972,1.180632657
973,0.996039851
974,1.152594937
975,1.064365316
976,0.68456074
977,0.627121222
978,1.312424935
979,0.912082961
980,1.318442956
981,0.825824983
982,1.181466676
983,1.056815978
984,0.944546764
985,0.717398316
986,1.272731612
987,1.499260834
988,0.678083856
989,0.826547818
990,0.771846845
991,1.410228507
992,1.196220727
993,0.824137272
994,0.906331027
995,0.574815242
996,0.950074109
997,0.787390915
998,0.794022781
999,0.644370543
1000,0.806787501
1001,0.82297339
1002,0.826654002
1003,1.023072305
1004,0.802701811
1005,1.127365109
1006,0.918858681
1007,1.07659108
1008,1.053139392
1009,1.185764006
1010,1.769921693
1011,0.927321748
1012,0.979417407
1013,0.694492551
1014,1.400916809
1015,1.27493341
1016,0.976714259
1017,0.920726272
1018,1.535104283
1019,1.0465142
1020,0.873434127
1021,1.280106013
1022,1.052342581
1023,0.801760301
1024,0.549231731
1025,0.810583698
1026,1.266231057
1027,1.406496374
1028,0.539722003
1029,0.825470948
1030,1.152263413
1031,1.005141971
1032,0.95020187
1033,1.059811149
1034,0.682512813
1035,0.927425702
1036,0.729790946
1037,0.583157604
1038,0.929587652
1039,0.702389503
1040,0.893887685
1041,0.812237987
1042,1.208867197
1043,0.917946069
1044,1.06397533
1045,1.11032981
1046,0.811091945
1047,0.937698233
1048,1.152917669
1049,1.041264228
1050,1.298411876
1051,0.804333352
1052,0.852472312
1053,0.941872879
1054,1.238130947
1055,0.79575719
1056,0.605422386
1057,1.699580188
1058,1.539539419
1059,0.925221906
1060,1.006899767
1061,1.012010636
1062,1.168790549
1063,1.52257446
1064,0.978746392
1065,1.234884891
1066,1.180325771
1067,0.962878366
1068,0.829911477
1069,1.232311226
1070,0.692921915
1071,0.930801445
1072,1.484577811
1073,1.216214332
1074,0.860666435
1075,1.055729588
1076,1.042106323
1077,1.0019472
1078,1.697864857
1079,0.979092434
1080,1.121602939
1081,0.648859164
1082,0.796115786
1083,1.197301769
1084,1.334148362
1085,1.189470782
1086,0.539449815
1087,1.196765078
1088,0.797260691
1089,0.810210781
1090,1.152788592
1091,0.942094275
1092,0.90041585
1093,0.80409628
1094,0.676661209
1095,0.717661844
1096,1.341240352
1097,1.106626983
1098,0.951379427
1099,0.97944786
1100,1.090332301
1101,1.134131829
1102,0.793747075
1103,0.685310998
1104,0.746691477
1105,1.188319782
1106,0.982376357
1107,0.868897831
1108,0.66992234
1109,0.983160025
1110,0.940047703
1111,0.812488689
1112,0.533787394
1113,1.511086872
1114,0.805086105
1115,1.140570907
1116,0.86007579
1117,1.214088079
1118,0.894638354
1119,0.796853521
1120,1.083285866
1121,0.91735457
1122,1.097916962
1123,1.246535152
1124,1.375002121
1125,0.645315846
1126,0.792235455
1127,0.610636784
1128,0.524448024
1129,0.953698823
1130,1.070269081
1131,1.306416296
1132,0.715918364
1133,1.090551563
1134,0.753435922
1135,0.805814393
1136,0.841732575
1137,0.616787671
1138,1.329061512
1139,0.968328331
1140,0.937676102
1141,0.872956904
1142,0.948397242
1143,0.889928694
1144,1.243082469
1145,1.854445061
1146,1.262578325
1147,0.94622358
1148,0.803678848
1149,1.089670307
1150,1.038676168
1151,0.851632353
1152,1.060113572
1153,0.91056333
1154,1.283551387
1155,1.27633441
1156,1.227893301
1157,1.166603909
1158,1.25412866
1159,1.031845439
1160,1.109656717
1161,1.234256614
1162,1.065656272
1163,1.123251226
1164,0.862849173
1165,0.872182004
1166,1.238808855
1167,0.905543192
1168,0.764347272
1169,0.909774609
1170,0.920365503
1171,0.836462566
1172,0.948569332
1173,1.3101214
1174,0.896901469
1175,1.142160157
1176,0.8272955
1177,1.030970806
1178,0.996615893
1179,0.6293343
1180,0.537017517
1181,1.126030649
1182,0.840165078
1183,0.881733162
1184,0.856321846
1185,1.276108514
1186,0.963103254
1187,0.637943891
1188,0.767942677
1189,1.246121269
1190,0.952704364
1191,0.736822089
1192,1.397434261
1193,1.306214485
1194,1.042385821
1195,1.416314907
1196,0.590821248
1197,0.941697331
1198,0.626171799
1199,1.227212381
1200,1.011968378
1201,0.908832682
1202,0.949510976
1203,0.942317045
1204,1.075070018
1205,0.890056642
1206,1.330264895
1207,0.991746576
1208,1.035011683
1209,0.616946831
1210,0.564764771
1211,1.219005656
1212,0.778278902
1213,0.788503161
1214,0.904123556
1215,0.959316616
1216,1.006960061
1217,0.769032891
1218,1.096951712
1219,1.295904898
1220,0.569418246
1221,0.606692846
1222,0.829174838
1223,0.977024929
1224,1.328572288
1225,1.092171749
1226,0.661264074
1227,1.133312057
1228,0.802515003
1229,0.782629636
1230,0.580256755
1231,1.112361897
1232,1.336527411
1233,0.877937749
1234,1.373459364
1235,0.648646519
1236,0.673060334
1237,1.195346109
1238,1.101607034
1239,0.820461257
1240,1.208986388
1241,0.786350665
1242,1.138235707
1243,0.919869356
1244,0.924912551
1245,0.896553101
1246,1.06366344
1247,0.974267411
1248,1.241448793
1249,1.191296436
1250,0.915222732
1251,1.439342358
1252,0.872968319
1253,0.968083047
1254,0.8080995
1255,1.128693611
1256,1.386933315
1257,1.197055512
1258,0.549905791
1259,1.077451668
1260,0.885260265
1261,0.89449779
1262,1.563835733
1263,1.157116719
1264,0.901835862
1265,1.259128716
1266,0.733834779
1267,0.985534153
1268,0.702541287
1269,0.858029343
1270,1.075039787
1271,0.818250593
1272,1.673118539
1273,0.796430501
1274,1.007976358
1275,0.651245776
1276,1.643879678
1277,0.741166348
1278,1.118973305
1279,0.875733412
1280,1.603125291
1281,1.303405261
1282,0.732890566
1283,1.149569782
1284,1.183391033
1285,0.653175885
1286,0.943892885
1287,0.549039002
1288,0.916330841
1289,0.713901634
1290,0.884570405
1291,1.302160901
1292,0.877351164
1293,0.685174544
1294,1.095293734
1295,0.53895903
1296,0.573744774
1297,0.858762644
1298,0.828047602
1299,1.077797605
1300,1.108952012
1301,0.935665359
1302,1.085179099
1303,0.857234773
1304,0.758747651
1305,0.821025749
1306,1.126705875
1307,0.876277115
1308,0.73602818
1309,0.837369229
1310,0.73811949
1311,0.709683601
1312,0.93294188
1313,1.18834987
1314,1.144637517
1315,0.899004764
1316,1.04192185
1317,0.790765529
1318,1.28586577
1319,0.857019922
1320,1.025814391
1321,1.097104551
1322,1.091117101
1323,0.82482114
1324,1.093935603
